"popularity_score","title","artist","year","decade","original_vocal","categories","Social_singing","artist_review_flag","cleanup_notes"
"75","Tin Man","Miranda Lambert","2016","2010s","Female","Alt-Country","","",""
"75","Your Love","Outfield","1994","90s","","","","",""
"75","Hurricane","The Band of Heathens","2011","2010s","","Rock, Blues","","",""
"75","Always on My Mind","Willie Nelson","1989","80s","Male","Country, Country Pop, Singer-Songwriter, Blues","","",""
"74","Tequila Makes Her Clothes Fall Off","Joe Nichols","2005","2000s","Male","Country","","",""
"74","Long Black Train","Josh Turner","2003","2000s","Male","Country, Contemporary Country, Modern Country","","",""
"74","Million Reasons","Lady Gaga","2016","2010s","Female","Pop, Hip-Hop, Country Rock","","",""
"74","Purple Rain","Prince","1992","90s","Male","Rock, Pop Rock, Pop, Dance-Pop, R&B","","",""
"74","Love Song","Sara Bareilles","2007","2000s","Female","Rock, Pop Rock, Pop, Adult Contemporary, Soft Rock","","",""
"74","Devil Went Down to Georgia","The Charlie Daniels Band","1994","90s","","Country, Classic Rock, Bluegrass, Country Rock, Southern Rock","","",""
"74","I Believe in a Thing Called Love","The Darkness","2002","2000s","","Rock, Hard Rock, Pop, Glam Metal, Glam Rock","","",""
"73","9 to 5","Dolly Parton","1980","80s","Female","Country, Country Pop, Rock, Pop, Folk","","",""
"73","Shivers","Ed Sheeran","2021","2020s","Male","Pop","","",""
"73","Wayfaring Stranger","Emmylou Harris","1980","80s","Female","Country, Alt-Country, Rock, Bluegrass, Blues","","",""
"73","Fergalicious","Fergie","2007","2000s","Female","Pop, Dance-Pop, Hip-Hop, Pop Rap, Trap","","",""
"73","Mouth","Merril Bainbridge","1995","90s","Female","Pop, Singer-Songwriter, Electronic","","",""
"73","Nothing Else Matters","Metallica","1993","90s","","Hard Rock, Heavy Metal, Metal","","",""
"73","Just a Girl","No Doubt","1995","90s","","Rock, Alternative Rock, Pop Rock, Pop, Post-Grunge","","",""
"73","There's Nothing Holdin Me Back","Shawn Mendes","2016","2010s","Male","Pop, House","","",""
"72","Shut Up and Drive","Chely Wright","1997","90s","Female","Country, Contemporary Country, Country Pop, Pop","","",""
"72","If I Could Turn Back Time","Cher","1989","80s","Female","Rock, Soft Rock","","",""
"72","Bodies","Drowning Pool","2000","2000s","","Rock, Nu Metal","","",""
"72","Tiny Dancer","Elton John","1971","70s","Male","Rock, Hard Rock, Pop Rock, Classic Rock, Pop","","",""
"72","Need You Now","Lady Antebullum","","","","","","",""
"72","The House That Built Me","Miranda Lambert","2009","2000s","Female","Rock, Country Rock","","",""
"72","Sittin' at a Bar (Bartender Song)","Rehab","","","","","","",""
"72","If You're Not in It for Love","Shania Twain","","","","","","",""
"72","Lyin' Eyes","The Eagles","1975","70s","","Rock, Pop Rock, Classic Rock, Pop, Country Rock","","",""
"72","Courtesy of the Red, White & Blue","Toby Keith","2009","2000s","Male","Country, Contemporary Country","","",""
"72","If You Could Only See Me Now","Tonic","","","","","","",""
"72","Shake the Frost (Live)","Tyler Childers","","","","","","",""
"72","Whitehouse Road","Tyler Childers","2013","2010s","Male","Country, Alt-Country, Americana","","",""
"71","Bad Guy","Billie Eilish","2019","2010s","Female","Pop, Dance-Pop, Indie Pop, Electropop, Hip-Hop","","",""
"71","Must Be Doin' Somethin' Right","Billy Currington","2005","2000s","Male","Country, Contemporary Country, Modern Country","","",""
"71","Oops! I DID It Again","Britney Spears","2000","2000s","Female","Pop Rock, Pop, Dance-Pop, Teen Pop, Hip-Hop","","",""
"71","Boot Scootin' Boogie","Brooks & Dunn","1991","90s","","Country, Contemporary Country, Modern Country","","",""
"71","I'd Rather Go Blind","Etta James","1982","80s","Female","Soul, Blues, Blues Rock, Funk, Jazz","","",""
"71","Roses","Outkast","2003","2000s","","Pop, Hip-Hop, Pop Rap, R&B, Contemporary R&B","","",""
"71","Wave on Wave","Pat Green","2003","2000s","Male","Country, Contemporary Country, Country Pop","","",""
"71","Three Wooden Crosses","Randy Travis","2002","2000s","Male","Country, Contemporary Country, Contemporary Christian, Gospel","","",""
"71","King of the Road","Roger Miller","1965","60s","Male","Country, Americana, Bluegrass","","",""
"71","Nose on the Grindstone","Tyler Childers","2025","2020s","Male","Country","","",""
"70","Chatahoochie","Alan Jackson","","","","","","",""
"70","1985","Bowling for Soup","2004","2000s","","Rock, Pop Rock, Pop, Pop Punk, Punk","","",""
"70","With Arms Wide Open","Creed","1999","90s","","Rock, Alternative Rock, Hard Rock, Pop, Folk","","",""
"70","Space Oddity","David Bowie","1984","80s","Male","Rock, Alternative Rock, Pop Rock, Classic Rock, Pop","","",""
"70","Titanium","David Guetta & Sia","","","","","Duets","",""
"70","Dobie Gray","Drift Away","1973","70s","Male","Rock, Classic Rock, Pop, R&B, Soul","","",""
"70","Cherry Bomb","Joan Jett","2001","2000s","Female","Rock, Hard Rock, Classic Rock","","",""
"70","Broken Wing","Martina McBride","1998","90s","Female","Country, Contemporary Country, Country Pop","","",""
"70","Where DID You Sleep Last Night","Nirvana","1994","90s","","Rock, Alternative Rock, Grunge","","",""
"70","Aerials","System of a Down","2001","2000s","","Rock, Alternative Rock, Alternative Metal, Heavy Metal, Metal","","",""
"69","Stickshifts and Safetybelts","Cake","1996","90s","","Rock, Alternative Rock, Punk","","",""
"69","Family Tradition","Hank Williams","2011","2010s","Male","Country, Folk, Blues, Gospel","","",""
"69","Hurt So Good","John Cougar Mellencamp","","","","","","",""
"69","Independence Day","Martina McBride","1993","90s","Female","Country, Contemporary Country, Modern Country, Country Pop, Bluegrass","","",""
"69","Little Red Wagon","Miranda Lambert","2014","2010s","Female","Contemporary Country, Alt-Country","","",""
"69","Scars","Papa Roach","2004","2000s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Pop","","",""
"69","Truly Madly Deeply","Savage Garden","1997","90s","","Rock, Pop Rock, Pop, Dance-Pop, Teen Pop","","",""
"68","I'm Gonna Miss Her","Brad Paisley","2001","2000s","Male","Country, Contemporary Country, Modern Country, Bluegrass","","",""
"68","Anyone","Demi Lovato","2020","2020s","","Pop Rock, Pop, Dance-Pop, Teen Pop, Electropop","","",""
"68","Crazy","Gnarls Barkley","2006","2000s","","Hip-Hop, Pop Rap, R&B, Soul, Funk","","",""
"68","I Write Sins Not Tragedies","Panic at the Disco","","","","","","",""
"68","Wake Up Older","Julie Roberts","2004","2000s","Female","Country, Contemporary Country","","",""
"68","I Kissed a Girl","Katy Perry","2008","2000s","Female","Rock, Pop Rock, Pop, Dance-Pop, Teen Pop","","",""
"68","Last Call","Lee Ann Womack","2008","2000s","Female","Country, Contemporary Country, Modern Country, Country Rock","","",""
"68","Wagon Wheel","Old Crow Medicine Show","2001","2000s","","Country, Folk, Bluegrass","","",""
"68","Honey I'm Home","Shania Twain","1997","90s","Female","Country, Contemporary Country, Country Pop, Pop Rock, Pop","","",""
"68","Not Ready to Make Nice","The Chicks","","","","","","",""
"68","No Sugar Tonight & New Mother Nature","The Guess Who","","","","","","",""
"67","Lean on Me","Bill Withers","1972","70s","Male","Pop, R&B, Soul","","",""
"67","Baby's Got Her Blue Jeans on","Mel Mcdaniel","1984","80s","Male","Country, Singer-Songwriter","","",""
"67","Kiss from a Rose","Seal","1994","90s","Male","Rock, Pop Rock, Pop, Dance-Pop, R&B","","",""
"67","House of the Rising Sun","The Animals","1989","80s","","Rock, Blues Rock, Psychedelic Rock","","",""
"67","Been Down So Long","The Doors","1971","70s","","Rock, Hard Rock, Classic Rock, Blues, Blues Rock","","",""
"67","Waterfalls","TLC","1995","90s","","Hip-Hop, R&B, Soul","Group Song","",""
"66","Crazy Bitch","Buckcherry","2006","2000s","","Rock","","",""
"66","Party in the U.S.A.","Miley Cyrus","","","","","","","recombined split title/artist"
"66","Rocket Man","Elton John","1973","70s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"66","Abcdefu","Gayle","2021","2020s","Female","Pop","","",""
"66","Enter Sandman","Metallica","1993","90s","","Hard Rock, Heavy Metal, Metal","","",""
"66","Dial Drunk","Noah Kahan","2023","2020s","Male","Rock, Pop, Folk, Folk Pop, Folk Rock","","",""
"66","My Girl","The Temptations","1975","70s","","Pop, R&B, Contemporary R&B, Soul, Funk","","",""
"66","Colder Weather","Zac Brown Band","2010","2010s","","Country, Contemporary Country, Modern Country, Country Pop, Country Rock","","",""
"65","Talking to the Moon","Bruno Mars","2010","2010s","Male","Rock, Pop Rock, Pop, R&B, Soul","","",""
"65","All My Ex's Live in Texas","George Strait","1987","80s","Male","Country, Contemporary Country","","",""
"65","Mr. Mom","Lonestar","2004","2000s","","Country, Contemporary Country, Country Pop, Pop","","",""
"65","Wellerman","Nathan Evans","2021","2020s","Male","Pop","","",""
"65","Its Been Awhile","Staind","","","","","","",""
"65","Good Ol' Boys (The Dukes of Hazzard Theme)","Waylon Jennings","","","","","","","recombined title/artist"
"64","I Want to Hold Your Hand (Across the Universe Soundtrack)","Across the Universe Cast","","","","","","","moved soundtrack note to title"
"64","You're So Vain","Carly Simon","1972","70s","Female","Country Pop, Rock, Pop Rock, Classic Rock, Pop","","",""
"64","Leonard Cohen","Hallelujah","1985","80s","Male","Rock, Pop, Folk, Singer-Songwriter, Blues Rock","","",""
"64","Dream a Little Dream of Me","Mama Cass","1968","60s","Female","Pop Rock, Baroque Pop, Folk Pop","","",""
"64","Fever","Michael Buble","2003","2000s","Male","Pop, Blues, Jazz","","",""
"64","Smells Like Teen Spirit","Nirvana","1992","90s","","Rock, Alternative Rock, Grunge","","",""
"64","Wannabe","Spice Girls","1996","90s","","Pop, Dance-Pop, Teen Pop, Contemporary R&B","Group Song","",""
"64","Dirty Little Secret","The All-American Rejects","2005","2000s","","Rock, Alternative Rock, Pop Punk","","",""
"64","Travelin' Soldier (Live)","The Chicks","","","","","","",""
"64","Unchained Melody","The Righteous Brothers","1989","80s","","Pop, R&B","","",""
"63","Neon Moon","Brooks & Dunn (feat. Kacey Musgraves)","","","","","","",""
"63","Gangsta's Paradise","Coolio feat. L.V.","2015","2010s","Male","Hip-Hop, Pop Rap, R&B, Contemporary R&B","","",""
"63","Flobots","Handlebars","","","","","","",""
"63","One of Us","Joan Osborne","1996","90s","Female","Rock, Alternative Rock, Pop Rock, Pop, Folk","","",""
"63","In the End","Linkin Park","2000","2000s","","Rock, Alternative Rock, Alternative Metal, Metal, Nu Metal","","",""
"63","Walk","Pantera","1992","90s","","Rock, Alternative Metal, Heavy Metal, Metal","","",""
"63","Love on the Brain","Rihanna","2016","2010s","Female","Pop, R&B, Contemporary R&B, Soul","","",""
"63","Closing Time","Semisonic","1998","90s","","Rock, Alternative Rock, Pop Rock, Pop, Post-Grunge","","",""
"63","Riders on the Storm","The Doors","1974","70s","","Rock, Hard Rock, Classic Rock, Pop, Blues Rock","","",""
"63","Pancho and Lefty Merle","Willie Nelson & Haggard","","","","","","",""
"62","Achy Breaky Heart","Billy Ray Cyrus","1992","90s","Male","Country, Contemporary Country, Country Pop, Country Rock","","",""
"62","Don't Fear the Reaper","Blue Oyster Cult","1992","90s","","Rock, Hard Rock, Pop Rock, Classic Rock, Blues Rock","","",""
"62","Hooked on a Feeling","Blue Swede","1973","70s","","Rock, Pop Rock, Pop, Soul","","",""
"62","Summer of '69","Bryan Adams","1988","80s","Male","Rock, Pop Rock, Classic Rock, Pop","","",""
"62","Silver Springs","Fleetwood Mac","1976","70s","","Rock, Pop Rock, Classic Rock, Pop, Blues","","",""
"62","Burn Me Down","Marty Stuart","1991","90s","Male","Country, Country Rock","","",""
"62","The Beastie Boys","Paul Revere","","","","","","",""
"62","Comfortably Numb","Pink Floyd","1980","80s","","Rock, Classic Rock, Blues Rock, Progressive Rock, Psychedelic Rock","","",""
"62","Cream","Prince","1992","90s","Male","Rock, Pop Rock, Pop, Dance-Pop, R&B","","",""
"62","Beast of Burden","The Rolling Stones","1978","70s","","Rock, Pop Rock, Classic Rock, Blues, Blues Rock","","",""
"62","I Will Always Love You","Whitney Houston","1992","90s","Female","Pop, Dance-Pop, Hip-Hop, R&B, Contemporary R&B","","",""
"61","Dancing Queen","ABBA","1981","80s","","Rock, Pop Rock, Pop, Disco, Glam Rock","Group Song","",""
"61","Ride on","AC/DC","1976","70s","","Rock, Hard Rock, Classic Rock, Blues Rock, Heavy Metal","","",""
"61","Mountain Music","Alabama","1982","80s","","Country, Contemporary Country, Country Pop, Alt-Country, Country Rock","","",""
"61","One Last Breath","Creed","2001","2000s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Pop","","",""
"61","Son of a Preacher Man","Dusty Springfield","1989","80s","Female","Pop, R&B, Soul, Baroque Pop","","",""
"61","Go Your Own Way","Fleetwood Mac","1980","80s","","Rock","","",""
"61","Big Iron","Marty Robbins","1959","50s","Male","Country","","",""
"61","Vice (Instrumental)","Miranda Lambert","","","","","","",""
"61","The Lap Dance Is So Much Better When the Stripper Is Crying","Bloodhound Gang","","","","","","","recombined split title/artist"
"61","Add It Up","Violent Femmes","1983","80s","","Rock, Alternative Rock, Indie Rock, Folk Rock, New Wave","","",""
"60","Livin' on a Prayer","Bon Jovi","1987","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Glam Metal","","",""
"60","Send the Pain Below","Chevelle","2002","2000s","","Rock, Alternative Rock, Hard Rock, Metal","","",""
"60","Adventure of a Lifetime","Coldplay","2015","2010s","","Rock, Alternative Rock, Pop Rock, Pop, Dance-Pop","","",""
"60","Criminal","Fiona Apple","1997","90s","Female","Rock, Singer-Songwriter, Art Pop, Baroque Pop, Jazz","","",""
"60","Wrong Side of Heaven","Five Finger Death Punch","2013","2010s","","Rock, Alternative Metal, Heavy Metal, Metal, Nu Metal","","",""
"60","That Summer","Garth Brooks","1992","90s","Male","Country, Contemporary Country, Country Rock","","",""
"60","Bad to the Bone","George Thorogood","1995","90s","Male","Hard Rock, Blues, Blues Rock, Rock and Roll","","",""
"60","American Honey","Lady A","","","","Country, Contemporary Country, Country Pop","","",""
"60","Who Says You Can't Go Home","Sugarland & Bon Jovi","","","","","","",""
"60","Just Like Heaven","The Cure","1991","90s","","Rock, Alternative Rock, Pop Rock, Indie Rock, Pop","","",""
"60","Peaceful Easy Feeling","The Eagles","","","","","","",""
"59","Dirty Deeds Done Dirt Cheap","AC/DC","1977","70s","","Rock, Hard Rock, Blues Rock, Rock and Roll","","",""
"59","Come Together (Across the Universe Soundtrack)","Across the Universe Cast","","","","","","","moved soundtrack note to title"
"59","When You Say Nothing at All","Alison Krauss","1994","90s","Female","Country, Alt-Country, Bluegrass","","",""
"59","Fairies Wear Boots","Black Sabbath","1974","70s","","Rock, Hard Rock, Classic Rock, Heavy Metal, Metal","","",""
"59","Dancing on My Own","Calum Scott","2016","2010s","Male","Pop Rock, Pop, Singer-Songwriter, Dance, Synth-Pop","","",""
"59","Let's Dance","David Bowie","1990","90s","Male","Rock, Alternative Rock, Pop Rock, Classic Rock, Pop","","",""
"59","The Way","Fastball","1998","90s","","Alternative Rock, Pop Rock, Folk Rock, Roots Rock","","",""
"59","New York New York","Frank Sinatra","1988","80s","Male","Jazz","","",""
"59","Smoke Rings in the Dark","Gary Allan","1999","90s","Male","Country, Contemporary Country, Modern Country","","",""
"59","Iris","Goo Goo Dolls","1998","90s","","Rock, Alternative Rock, Pop Rock, Pop, Post-Grunge","","",""
"59","Banana Pancakes","Jack Johnson","2004","2000s","Male","Rock, Pop, Indie Pop, Folk, Singer-Songwriter","","",""
"59","Insensitive","Jann Arden","1994","90s","Female","Rock, Pop, Singer-Songwriter, Soft Rock","","",""
"59","Rumor","Lee Brice","2017","2010s","Male","Country","","",""
"59","Lightning Crashes","Live","1994","90s","","Rock, Alternative Rock, Pop Rock, Pop, Alternative Metal","","",""
"59","Unwritten","Natasha Bedingfield","2004","2000s","Female","Rock, Pop Rock, Pop, Dance-Pop, Hip-Hop","","",""
"59","99 Red Balloons","Nena","1983","80s","","Rock, Pop, New Wave, Synth-Pop","","",""
"59","Take It Back","Reba McEntire","1992","90s","Female","Country","","",""
"59","Pride & Joy","Stevie Ray Vaughan","1983","80s","Male","Blues, Blues Rock","","",""
"59","Beer for My Horses","Toby Keith & Willie Nelson","","","","","","",""
"59","Ice Cream Man","Van Halen","1990","90s","","Rock, Hard Rock, Glam Metal","","",""
"58","Because I Got High","Afroman","2001","2000s","Male","Dance-Pop, Hip-Hop, Pop Rap","","",""
"58","Higher","Creed","1999","90s","","Rock, Alternative Rock, Hard Rock, Folk, Grunge","","",""
"58","Beneath Oak Trees","Dylan Gossett","2023","2020s","Male","","","",""
"58","Drive","Incubus","1999","90s","","Rock, Alternative Rock, Pop Rock, Pop, Hip-Hop","","",""
"58","Pray for You Love","Jaron & the Long Road to","","","","","","",""
"58","I Got a Name","Jim Croce","1973","70s","Male","Rock, Classic Rock, Pop, Folk, Singer-Songwriter","","",""
"58","Big Rock Candy Mountain","John Hartford","2001","2000s","Male","Country, Americana, Bluegrass","","",""
"58","I'm Gonna Be Five Hundred Miles","The Proclaimers","","","","","","",""
"58","The Green, Green Grass of Home","Tom Jones","1992","90s","Male","Pop","","",""
"57","Just a Gigolo","David Lee Roth","1995","90s","Male","Rock, Hard Rock","","",""
"57","Sinner","Drowning Pool","2001","2000s","","Rock, Hard Rock, Alternative Metal, Heavy Metal, Metal","","",""
"57","Everlong","Foo Fighters","1997","90s","","Rock, Alternative Rock, Hard Rock, Grunge, Post-Grunge","","",""
"57","Check Yes or No","George Strait","1995","90s","Male","Country, Contemporary Country, Blues","","",""
"57","Friend of the Devil","Grateful Dead","1981","80s","","Rock, Pop Rock, Classic Rock, Blues Rock, Country Rock","","",""
"57","Straight Tequila Night","John Anderson","1992","90s","Male","Country","","",""
"57","A Boy Named Sue","Johnny Cash","1972","70s","Male","Country, Folk, Americana, Blues, Gospel","","",""
"57","Dust in the Wind","Kansas","1978","70s","","Rock, Hard Rock, Classic Rock, Folk Rock, Progressive Rock","","",""
"57","Someone You Loved","Lewis Capaldi","2018","2010s","Male","Pop","","",""
"57","Gimme Three Steps","Lynyrd Skynyrd","1973","70s","","Rock, Hard Rock, Classic Rock, Blues Rock, Southern Rock","","",""
"57","Float on","Modest Mouse","2003","2000s","","Alternative Rock, Indie Rock","","",""
"57","How You Remind Me","Nickelback","2000","2000s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock","","",""
"57","Heart Shaped Box","Nirvana","1993","90s","","Rock, Alternative Rock, Alternative Metal, Grunge, Punk","","",""
"57","Spiderwebs","No Doubt","1995","90s","","Rock, Alternative Rock, Pop Rock, Post-Grunge","","",""
"57","Dead of Night","Orville Peck","2017","2010s","Male","Country, Alt-Country, Alternative Rock, Indie Rock","","",""
"57","So What","Pink","2010","2010s","Male","","","",""
"57","Harden My Heart","Quarterflash","1981","80s","","Rock, Pop Rock, Classic Rock, Pop, New Wave","","",""
"57","Round & Round","Ratt","1984","80s","","Rock, Hard Rock, Glam Metal, Heavy Metal, Metal","","",""
"57","Take a Bow","Rihanna","2008","2000s","Female","Rock, Pop, Dance-Pop, R&B, Contemporary R&B","","",""
"57","One Headlight","The Wallflowers","1996","90s","","Rock, Alternative Rock, Pop, Roots Rock, Soft Rock","","",""
"57","Toes","Zac Brown Band","2005","2000s","","Country, Contemporary Country, Modern Country, Country Pop","","",""
"56","It's a Long Way to the Top","AC/DC","1979","70s","","Rock, Hard Rock, Blues Rock, Rock and Roll","","",""
"56","I Don't Even Know Your Name","Alan Jackson","1994","90s","Male","Country, Contemporary Country, Modern Country, Country Pop","","",""
"56","Midnight in Montgomery","Alan Jackson","1991","90s","Male","Country, Contemporary Country, Country Rock","","",""
"56","Black Velvet","Allanah Myles","","","","","","",""
"56","It's Too Late","Carole King","1971","70s","Female","Rock, Pop Rock, Pop, Folk, Singer-Songwriter","","",""
"56","Beautiful","Christina Aguilera","2002","2000s","Female","Rock, Pop Rock, Pop, Dance-Pop, Hip-Hop","","",""
"56","Fix You","Coldplay","2005","2000s","","Rock, Alternative Rock, Pop Rock, Indie Rock, Pop","","",""
"56","Coal","Dylan Gossett","2023","2020s","Male","Country","","",""
"56","Can You Feel the Love Tonight","Elton John","1994","90s","Male","Rock, Hard Rock, Pop Rock, Pop, Singer-Songwriter","","",""
"56","We'll Sing in the Sunshine","Gale Garnett","1964","60s","Female","Country","","",""
"56","You Look So Good in Love","George Strait","1983","80s","Male","Country","","",""
"56","You'll Be Back","Hamilton","","","","","","",""
"56","Blue Bayou","Linda Ronstadt","1977","70s","Female","Country, Rock, Pop Rock, Pop, Country Rock","","",""
"56","Amazed","Lonestar","1999","90s","","Country, Contemporary Country, Modern Country, Country Pop, Country Rock","","",""
"56","Stuck in the Middle with You","Stealers Wheel","1972","70s","","Rock, Pop Rock, Classic Rock, Pop, Folk Rock","","",""
"56","Trouble","Travis Tritt","","","","","","",""
"55","Zombie","Bad Wolves","2018","2010s","","Metal","","",""
"55","Mack the Knife","Bobby Darin","1988","80s","Male","Pop, Teen Pop, Folk, Rock and Roll","","",""
"55","Angel from Montgomery","Bonnie Raitt","1974","70s","Female","Country, Rock, Classic Rock, Pop, Blues Rock","","",""
"55","Look at You Girl","Chris Ledoux","1992","90s","Male","Country","","",""
"55","You Never Even Call Me by My Name","David Allen Coe","","","","","","",""
"55","Stacy's Mom","Fountains of Wayne","2003","2000s","","Rock, Alternative Rock, Pop Rock, Pop, Blues","","",""
"55","Young and Beautiful","Lana Del Rey","2013","2010s","Female","Rock, Alternative Rock, Indie Rock, Pop, Indie Pop","","",""
"55","Lady","Little River Band","1978","70s","","Rock, Pop Rock, Classic Rock, Pop, Adult Contemporary","","",""
"55","She Will Be Loved","Maroon 5","2002","2000s","","Rock, Alternative Rock, Pop Rock, Pop, Adult Contemporary","","",""
"55","Wasted on You","Morgan Wallen","2021","2020s","Male","Country, Country Pop","","",""
"55","Don't Stop Me Now","Queen","1978","70s","","Rock, Hard Rock, Pop Rock, Classic Rock, Pop","","",""
"55","Take It on the Run","Reo Speedwagon","1981","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Soft Rock","","",""
"55","Brand New Girlfriend","Steve Holy","2006","2000s","Male","Country","","",""
"55","Travelin' Soldier","The Chicks","","","","","","",""
"55","No Scrubs","TLC","1999","90s","","Pop, Pop Rap, Contemporary R&B, New Jack Swing","Group Song","",""
"54","Sister Golden Hair","America","1977","70s","","Rock, Classic Rock, Pop, Folk Rock, Soft Rock","","",""
"54","Heaven","DJ Sammy & Yanou & Do","","","","","","",""
"54","Don't Go Breaking My Heart","Elton John & Kiki Dee","","","","","Duets","",""
"54","Bad Romance","Lady Gaga","2009","2000s","Female","Pop, Dance-Pop, Electropop, Hip-Hop, Electro","","",""
"54","Symphony of Destruction","Megadeth","1992","90s","","Rock, Heavy Metal, Metal","","",""
"54","Closer","Nine Inch Nails","2000","2000s","","Rock, Alternative Rock, Electronic, Industrial Rock","","",""
"54","About a Girl","Nirvana","1994","90s","","Rock, Alternative Rock, Alternative Metal, Grunge, Punk","","",""
"54","Tainted Love","Soft Cell","1981","80s","","Rock, Pop, Dance-Pop, Electropop, Blues","","",""
"54","Chantilly Lace","The Big Bopper","1977","70s","Male","Pop","","",""
"54","Wide Open Spaces","The Chicks","","","","","","",""
"54","When You Were Young","The Killers","2006","2000s","","Rock, Alternative Rock, Pop Rock, Indie Rock, Heartland Rock","","",""
"54","Can't You See","The Marshall Tucker Band","1994","90s","","Country, Pop Rock, Blues Rock, Country Rock, Roots Rock","","",""
"53","Cadillac Ranch","Chris Ledoux","1992","90s","Male","Country, Country Rock","","",""
"53","Gettin' You Home (The Black Dress Song)","Chris Young","2009","2000s","Male","Country, Contemporary Country","","",""
"53","A Thousand Years","Christina Perri","2011","2010s","Female","Alternative Rock, Pop","","",""
"53","Paralyzer","Finger Eleven","2007","2000s","","Rock, Hard Rock, Alternative Metal, Heavy Metal, Post-Grunge","","",""
"53","Jackson","Johnny & June Cash","","","","","","",""
"53","Hurricane","Luke Combs","2015","2010s","Male","Country","","",""
"53","White Liar","Miranda Lambert","2009","2000s","Female","Modern Country","","",""
"53","Every Rose Has Its Thorn","Poison","1988","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Pop","","",""
"53","No One Knows","Queens of the Stone Age","2002","2000s","","Rock, Alternative Rock, Hard Rock, Pop, Alternative Metal","","",""
"53","Ball and Chain","Social Distortion","1990","90s","","Hard Rock","","",""
"53","Burning Down the House","Talking Heads","1983","80s","","Rock, Alternative Rock, Pop Rock, Pop, Funk Rock","","",""
"53","My Humps","The Black Eyed Peas","2005","2000s","","Pop, Dance-Pop, Hip-Hop, Pop Rap, Electronic","Group Song","",""
"53","Part of Your World","The Little Mermaid","","","","","","",""
"53","Bruises","Train","2018","2010s","","Rock, Alternative Rock, Pop Rock, Pop","","",""
"52","Bed of Roses","Bon Jovi","1992","90s","","Rock, Hard Rock, Pop Rock, Classic Rock, Glam Metal","","",""
"52","It's All Coming Back to Me Now","Celine Dion","1996","90s","Female","Pop, Soft Rock, Synth-Pop","","",""
"52","Trashy Women","Confederate Railroad","1992","90s","","Country, Rock, Country Rock","","",""
"52","Ain't That a Kick in the Head","Dean Martin","1967","60s","Male","Country Pop, Pop","","",""
"52","Beauty School Dropout","Frankie Avalon","1978","70s","Male","Pop, Rock and Roll","","",""
"52","Prop Me Up Beside the Jukebox","Joe Diffie","1994","90s","Male","Country","","",""
"52","Brand New Key","Melanie","1971","70s","Female","Pop, Folk, Singer-Songwriter, Folk Pop","","",""
"52","Misery Business","Paramore","2007","2000s","","Rock, Alternative Rock, Pop Rock, Emo, Pop Punk","","",""
"52","Wherever You Will Go","The Calling","2001","2000s","","Rock, Alternative Rock, Pop Rock, Pop, Post-Grunge","","",""
"52","Have Mercy","The Judds","1985","80s","","Country, Contemporary Country","","",""
"52","Mustang Sally","Wilson Pickett","1966","60s","Male","Classic Rock, Pop, R&B, Soul, Blues","","",""
"51","When I Was Your Man","Bruno Mars","2012","2010s","Male","Rock, Pop, R&B, Soul, Adult Contemporary","","",""
"51","House of the Rising Sun","Five Finger Death Punch","2013","2010s","","Alternative Metal, Heavy Metal","","",""
"51","He Stopped Loving Her","George Today Jones","","","","","","",""
"51","Feel Good Inc","Gorillaz","2005","2000s","","Rock, Alternative Rock, Pop, Hip-Hop","","",""
"51","Operator","Jim Croce","1995","90s","Male","Folk","","",""
"51","Do Ya","K.T. Oslin","1987","80s","Female","Country","","",""
"51","When Doves Cry","Prince","1984","80s","Male","Rock, Pop Rock, Pop, Dance-Pop, R&B","","",""
"51","Soul to Squeeze","Red Hot Chili Peppers","1991","90s","","Rock, Alternative Rock, Pop, Heavy Metal","","",""
"51","Yesterday","The Beatles","1965","60s","","Rock, Pop Rock, Classic Rock, Pop","","",""
"51","Brown Eyed Girl","Van Morrison","1990","90s","Male","Rock, Folk, Singer-Songwriter, Folk Pop, Folk Rock","","",""
"50","Buy Me a Boat","Chris Janson","2015","2010s","Male","Country, Contemporary Country","","",""
"50","My Sacrifice","Creed","2001","2000s","","Post-Grunge","","",""
"50","Fast as You","Dwight Yoakam","1993","90s","Male","Country, Rock, Country Rock","","",""
"50","Rich Girl","Hall & Oates","1977","70s","","Pop Rock, Pop, New Wave, Soft Rock","Duets","",""
"50","Wildflowers and Wild Horses","Lainey Wilson","2022","2020s","Female","Country","","",""
"50","Close My Eyes Forever","Lita Ford & Ozzy Osbourne","","","","","Duets","",""
"50","Just Give Me a Reason","Pink feat. Nate Ruess","","","","","","",""
"50","Burn Burn Burn","Zach Bryan","2022","2020s","Male","Country, Alt-Country, Americana","","",""
"49","A Little Dive Bar in Dahlonega","Ashley McBryde","2017","2010s","Female","Country, Contemporary Country, Country Pop, Country Rock","","",""
"49","Slow Hand","Conway Twitty","1982","80s","Male","Country","","",""
